date,coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,year,month,day_of_week,day_of_year,week_of_year,quarter
2022-03-16,Harmony,ONE,0.127445,0.9123904881101376,0.5421095666394112,0.105691056910569,0.0012970479866853,0.0018481250623476,2022,3,2,75,11,1
2022-03-16,eCash,XEC,7.9294818e-05,0.904881101376721,0.5241210139002452,0.1358885017421602,0.0006463491151644,0.0018449273475169,2022,3,2,75,11,1
2022-03-16,Bitcoin SV,BSV,77.11,0.8973717146433041,0.5404742436631234,0.1043360433604335,0.0023339850897354,0.0017980040604214,2022,3,2,75,11,1
2022-03-16,NEO,NEO,20.13,0.9111389236545684,0.5511038430089941,0.1047231900890437,0.0025593334796283,0.0017283337375955,2022,3,2,75,11,1
2022-03-16,TrueUSD,TUSD,1.0,0.8811013767209012,0.5290269828291086,0.108207510646535,0.001982610793273,0.0017253604278976,2022,3,2,75,11,1
2022-03-16,Huobi Token,HT,8.98,0.8936170212765958,0.5355682747342599,0.1031746031746031,0.0005542928651143,0.0017092455682708,2022,3,2,75,11,1
2022-03-16,KuCoin Token,KCS,18.41,0.8986232790988735,0.5355682747342599,0.1118854045683313,0.0001480752322245,0.0017070427379733,2022,3,2,75,11,1
2022-03-16,Celsius Network,CEL,3.18,0.8923654568210263,0.5543744889615698,0.1269841269841269,6.779385684628351e-05,0.0016498533770656,2022,3,2,75,11,1
2022-03-16,Stacks,STX,1.26,0.9036295369211514,0.5494685200327064,0.143437862950058,0.0007658610111801,0.0016130198790604,2022,3,2,75,11,1
2022-03-16,Humans.ai,HEART,0.044270474958,0.9123904881101376,0.5985282093213409,0.0021293070073557,3.1981340967619e-05,0.0016022407008458,2022,3,2,75,11,1
2022-03-16,Enjin Coin,ENJ,1.4,0.9036295369211514,0.5690923957481602,0.1169183120402632,0.0023098626120286,0.0015913159642518,2022,3,2,75,11,1
2022-03-16,Basic Attention Token,BAT,0.822605,0.90738423028786,0.5731807031888797,0.1566008517228029,0.0056065272524491,0.0014920053677937,2022,3,2,75,11,1
2022-03-16,NEXO,NEXO,2.19,0.8998748435544431,0.5535568274734259,0.1269841269841269,7.911287557447918e-05,0.0014906897522558,2022,3,2,75,11,1
2022-03-16,Amp,AMP,0.025036137658,0.9036295369211514,0.5339329517579721,0.1085946573751451,0.0001395483786183,0.0014601684093902,2022,3,2,75,11,1
2022-03-16,Radix,XRD,0.121859,0.8998748435544431,0.5805396565821749,0.1078203639179248,3.728231902789594e-06,0.0014594483699534,2022,3,2,75,11,1
2022-03-16,Kusama,KSM,126.84,0.9123904881101376,0.5609157808667211,0.1153697251258226,0.0011374300711616,0.0013747527909713,2022,3,2,75,11,1
2022-03-16,Celo,CELO,2.52,0.9086357947434294,0.5584627964022894,0.0933023615950445,0.0008046979180749,0.0012995375617847,2022,3,2,75,11,1
2022-03-16,Kadena,KDA,6.23,0.9111389236545684,0.5355682747342599,0.1140147115756871,0.0010125097145048,0.0012834132177644,2022,3,2,75,11,1
2022-03-16,Chiliz,CHZ,0.198241,0.9136420525657072,0.5478331970564185,0.1118854045683313,0.0018884669957204,0.0012674564446794,2022,3,2,75,11,1
2022-03-16,Dash,DASH,97.64,0.9011264080100124,0.5322976287816843,0.113821138211382,0.0042366336758336,0.0012496651708131,2022,3,2,75,11,1
2022-03-16,Frax Share,FXS,17.92,0.8886107634543179,0.5192150449713818,0.1091753774680603,8.345419143270841e-05,0.0012443880490878,2022,3,2,75,11,1
2022-03-16,Zcash,ZEC,148.94,0.9061326658322904,0.5813573180703189,0.1225319396051103,0.0047782144602869,0.0022372185693541,2022,3,2,75,11,1
2022-03-16,Pax Dollar,USDP,0.999025,0.8785982478097623,0.5290269828291086,0.1078203639179248,0.000994899107021,0.0011971644056814,2022,3,2,75,11,1
2022-03-16,GateToken,GT,6.52,0.8961201501877347,0.5535568274734259,0.1070460704607045,0.0001328282576585,0.0011778058551107,2022,3,2,75,11,1
2022-03-16,BitDAO,BIT,1.12,0.9123904881101376,0.543744889615699,0.1149825783972125,0.0009419295266641,0.0011954312062128,2022,3,2,75,11,1
2022-03-16,Convex Finance,CVX,18.29,0.9286608260325409,0.5723630417007358,0.1364692218350754,0.0007811168577626,0.0011772167183458,2022,3,2,75,11,1
2022-03-16,Synthetix Network Token,SNX,4.24,0.9474342928660826,0.5928045789043336,0.1242740998838559,0.0010934607545194,0.001080174823618,2022,3,2,75,11,1
2022-03-16,Xido Finance,XIDO,30.86,0.8473091364205257,0.4881439084219132,0.2562911343399148,2.527076519285185e-05,0.0010668217588266,2022,3,2,75,11,1
2022-03-16,Loopring,LRC,0.710702,0.918648310387985,0.5568274734260016,0.1016260162601625,0.0019372650885656,0.001051392801263,2022,3,2,75,11,1
2022-03-16,NEM,XEM,0.098240605826,0.90738423028786,0.5633687653311529,0.1151761517615175,0.0003601631679869,0.0010487145567184,2022,3,2,75,11,1
2022-03-16,Anchor Protocol,ANC,3.1,0.9561952440550688,0.6001635322976288,0.073170731707317,0.0018559720616591,0.0009558949207026,2022,3,2,75,11,1
2022-03-16,Oasis Network,ROSE,0.227889,0.9261576971214018,0.5854456255110384,0.1132404181184668,0.0011365132846189,0.0009389195185959,2022,3,2,75,11,1
2022-03-16,Curve DAO Token,CRV,2.02,0.9136420525657072,0.5461978740801308,0.1068524970963995,0.0026050998283852,0.0009348150609486,2022,3,2,75,11,1
2022-03-16,Decred,DCR,56.87,0.9061326658322904,0.6451349141455437,0.1250483933410762,0.0004320836517014,0.0009296153646061,2022,3,2,75,11,1
2022-03-16,cUSDT,CUSDT,0.021768404499,0.8811013767209012,0.5282093213409648,0.1080139372822299,1.4001043116497046e-07,0.0009144900390775,2022,3,2,75,11,1
2022-03-16,Secret,SCRT,4.61,0.902377972465582,0.5347506132461161,0.1132404181184668,0.0003430030656198,0.0008994453038326,2022,3,2,75,11,1
2022-03-16,LINK,LN,129.46,0.9261576971214018,0.5429272281275551,0.1126596980255516,2.0849273232451475e-05,0.0008938861012949,2022,3,2,75,11,1
2022-03-16,Osmosis,OSMO,9.39,0.8986232790988735,0.5429272281275551,0.1078203639179248,0.0016232452782534,0.0038330694396812,2022,3,2,75,11,1
2022-03-16,Mina Protocol,MINA,1.81,0.8998748435544431,0.6140637775960751,0.1072396438250096,0.0012144779590109,0.0008896426109432,2022,3,2,75,11,1
2022-03-16,Compound,COMP,109.58,0.9136420525657072,0.5650040883074406,0.1180797522260936,0.0007034879218772,0.0008509244093029,2022,3,2,75,11,1
2022-03-16,IoTeX,IOTX,0.076638517501,0.9336670838548186,0.5339329517579721,0.1306620209059233,0.0015832004480418,0.0008393288825319,2022,3,2,75,11,1
2022-03-16,Bitkub Coin,KUB,7.89,0.886107634543179,0.5282093213409648,0.1014324428958575,3.786409201469436e-05,0.0008159051056831,2022,3,2,75,11,1
2022-03-16,Neutrino USD,USDN,1.0,0.8848560700876096,0.5273916598528209,0.1093689508323654,0.0002644244442357,0.0008017718812243,2022,3,2,75,11,1
2022-03-16,yearn.finance,YFI,18982.86,0.902377972465582,0.5421095666394112,0.1053039101819589,0.0014132248848045,0.0007894307483904,2022,3,2,75,11,1
2022-03-16,Nexus Mutual,NXM,92.51,0.9136420525657072,0.5568274734260016,0.1205962059620596,3.296333855744055e-08,0.0007319219399638,2022,3,2,75,11,1
2022-03-16,XDC Network,XDC,0.050635431946,0.8785982478097623,0.5102207686017988,0.1267905536198218,0.0001714093087164,0.0007094255267558,2022,3,2,75,11,1
2022-03-16,1inch,1INCH,1.5,0.90738423028786,0.6189697465249386,0.1395663956639566,0.0020791779976598,0.0007092350901847,2022,3,2,75,11,1
2022-03-16,WAX,WAXP,0.274089,0.90738423028786,0.5445625511038429,0.1080139372822299,0.0004632301600839,0.0007080425900646,2022,3,2,75,11,1
2022-03-16,Smooth Love Potion,SLP,0.016547553043,0.904881101376721,0.5429272281275551,0.0933023615950445,0.0017147011482472,0.0007071480944866,2022,3,2,75,11,1
2022-03-16,Qtum,QTUM,5.95,0.9173967459324156,0.5470155355682746,0.1149825783972125,0.0013641568686255,0.0007051156366287,2022,3,2,75,11,1
2022-03-16,PAX Gold,PAXG,1935.78,0.8898623279098873,0.5322976287816843,0.0969802555168408,0.0005307442377182,0.0007034667297078,2022,3,2,75,11,1
2022-03-16,Sushi,SUSHI,3.12,0.9261576971214018,0.5846279640228944,0.1238869531552458,0.0022819198164116,0.0006926121789146,2022,3,2,75,11,1
2022-03-16,Holo,HOT,0.00414796568,0.9148936170212766,0.5502861815208503,0.1134339914827719,0.0010908696424089,0.0008615627842211,2022,3,2,75,11,1
2022-03-16,Livepeer,LPT,23.82,0.918648310387985,0.5470155355682746,0.1126596980255516,0.0001949065854336,0.0006752523341318,2022,3,2,75,11,1
2022-03-16,Maker,MKR,1982.58,0.9173967459324156,0.5862632869991823,0.1329849012775841,0.0016026198421992,0.0021993194121061,2022,3,2,75,11,1
2022-03-16,Bancor Network Token,BNT,2.29,0.902377972465582,0.5551921504497137,0.1200154858691443,0.0004508055051395,0.0006672724592096,2022,3,2,75,11,1
2022-03-16,Marinade staked SOL,MSOL,88.63,0.9123904881101376,0.5396565821749794,0.116337591947348,0.0003221213422103,0.0006604346083619,2022,3,2,75,11,1
2022-03-16,OMG Network,OMG,4.11,0.904881101376721,0.5412919051512673,0.1236933797909407,0.0018415447474944,0.0006559885463122,2022,3,2,75,11,1
2022-03-16,Zilliqa,ZIL,0.041008132304,0.9224030037546934,0.5543744889615698,0.1171118854045683,0.0006553086262899,0.0006514561260243,2022,3,2,75,11,1
2022-03-16,SafeMoon,SFM,0.001028389235,0.9286608260325409,0.5004088307440718,0.0909794812233836,7.02328846433329e-06,0.0006449451529962,2022,3,2,75,11,1
2022-03-16,Render Token,RNDR,2.43,0.9111389236545684,0.5568274734260016,0.1020131629887727,0.0004094245734122,0.0006371786975471,2022,3,2,75,11,1
2022-03-16,Fei USD,FEI,1.0,0.8823529411764707,0.5282093213409648,0.1085946573751451,0.0001769924997521,0.0006332897431045,2022,3,2,75,11,1
2022-03-16,Gnosis,GNO,298.83,0.90738423028786,0.5486508585445625,0.1074332171893147,4.977323792418808e-05,0.0006281939756125,2022,3,2,75,11,1
2022-03-16,ICON,ICX,0.753601,0.9136420525657072,0.5175797219950939,0.1486643437862949,0.0007777620963275,0.0006235243782624,2022,3,2,75,11,1
2022-03-16,Ravencoin,RVN,0.051804162049,0.9148936170212766,0.5625511038430089,0.1091753774680603,0.0003346888987586,0.0006092051694852,2022,3,2,75,11,1
2022-03-16,IOST,IOST,0.022568760363,0.9123904881101376,0.5372035977105477,0.110917537746806,0.0006100597715522,0.0005824660635939,2022,3,2,75,11,1
2022-03-16,Bitcoin Gold,BTG,29.74,0.9036295369211514,0.5511038430089941,0.1142082849399922,0.0001578721305235,0.0005819343048327,2022,3,2,75,11,1
2022-03-16,Kava,KAVA,3.16,0.9098873591989988,0.5568274734260016,0.1145954316686023,0.0003927493940621,0.0005659569740669,2022,3,2,75,11,1
2022-03-16,OEC Token,OKT,32.27,0.9098873591989988,0.5363859362224038,0.0960123886953155,8.913076303082049e-05,0.0005447739689558,2022,3,2,75,11,1
2022-03-16,Audius,AUDIO,0.735289,0.9148936170212766,0.5494685200327064,0.1118854045683313,0.0001365283890889,0.0004924069363504,2022,3,2,75,11,1
2022-03-16,Songbird,SGB,0.062799688152,0.9086357947434294,0.5331152902698282,0.0814943863724351,4.5387613765792365e-05,0.0005424800420892,2022,3,2,75,11,1
2022-03-16,e-Radix,EXRD,0.122181,0.9086357947434294,0.579721995094031,0.1087882307394502,4.4675867463741255e-05,0.0005391013016284,2022,3,2,75,11,1
2022-03-16,Velas,VLX,0.213154,0.8811013767209012,0.5314799672935404,0.1008517228029422,7.085587625919153e-05,0.0005377807054952,2022,3,2,75,11,1
2022-03-16,Rocket Pool,RPL,30.03,0.9111389236545684,0.5617334423548649,0.1370499419279907,9.977359256578584e-06,0.0005345583699005,2022,3,2,75,11,1
2022-03-16,Tether Gold,XAUT,1950.12,0.8848560700876096,0.526573998364677,0.0994967092528067,6.368956536588297e-05,0.0005342400886012,2022,3,2,75,11,1
2022-03-16,Moonbeam,GLMR,2.38,0.9098873591989988,0.5592804578904332,0.1010452961672473,0.0006442527129063,0.0005295160771204,2022,3,2,75,11,1
2022-03-16,Sapphire,SAPP,0.564647,0.9061326658322904,0.5290269828291086,0.1107239643825009,7.46989265541539e-06,0.0005221670213264,2022,3,2,75,11,1
2022-03-16,Horizen,ZEN,38.73,0.8998748435544431,0.5780866721177432,0.1130468447541618,0.0005027545619518,0.0005208672960135,2022,3,2,75,11,1
2022-03-16,WOO Network,WOO,0.492556,0.904881101376721,0.5993458708094848,0.1320170344560588,0.0010415087979041,0.0005172369150046,2022,3,2,75,11,1
2022-03-16,Liquity USD,LUSD,1.0,0.8811013767209012,0.5282093213409648,0.1064653503677893,5.562802658471504e-05,0.0005141116488274,2022,3,2,75,11,1
2022-03-16,Golem,GLM,0.465346,0.9011264080100124,0.5461978740801308,0.0915602013162988,0.0002745352116933,0.0005137657738706,2022,3,2,75,11,1
2022-03-16,Rally,RLY,0.180078,0.9136420525657072,0.5290269828291086,0.0967866821525358,5.794165516060762e-05,0.0005137080518,2022,3,2,75,11,1
2022-03-16,Baby Doge Coin,BABYDOGE,2.864e-09,0.9136420525657072,0.5453802125919869,0.1004645760743321,0.0001838445617506,0.0004985366883034,2022,3,2,75,11,1
2022-03-16,Kyber Network Crystal,KNC,3.06,0.9123904881101376,0.5347506132461161,0.10840108401084,0.0006953908777694,0.0003196023451479,2022,3,2,75,11,1
2022-03-16,UMA,UMA,7.74,0.9036295369211514,0.5429272281275551,0.1049167634533488,0.0007951608628421,0.0005640605463813,2022,3,2,75,11,1
2022-03-16,Siacoin,SC,0.008880296534,0.9036295369211514,0.5461978740801308,0.1072396438250096,0.0002122227766042,0.0004911878090531,2022,3,2,75,11,1
2022-03-16,Pocket Network,POKT,0.699085,0.904881101376721,0.525756336876533,0.097367402245451,1.6821464057480506e-05,0.0006632232481547,2022,3,2,75,11,1
2022-03-16,Dogelon Mars,ELON,7.24104e-07,0.934918648310388,0.5870809484873262,0.1134339914827719,0.0001890066944792,0.0004229927359641,2022,3,2,75,11,1
2022-03-16,Immutable X,IMX,1.57,0.934918648310388,0.5380212591986917,0.1174990321331784,0.0015125502506704,0.0003860064735021,2022,3,2,75,11,1
2022-03-16,Synapse,SYN,2.17,0.8961201501877347,0.4644317252657399,0.1080139372822299,0.0001593076365973,0.0004060484210191,2022,3,2,75,11,1
2022-03-16,Constellation,DAG,0.152116,0.8973717146433041,0.5175797219950939,0.1562137049941927,1.7600975995080362e-05,0.0004081777807712,2022,3,2,75,11,1
2022-03-16,Olympus,OHM,28.12,0.8986232790988735,0.5126737530662305,0.0913666279519937,6.091832025161331e-05,0.0004189159454268,2022,3,2,75,11,1
2022-03-16,SwissBorg,CHSB,0.428284,0.9086357947434294,0.5494685200327064,0.097560975609756,1.8354631355489178e-05,0.0004357066247942,2022,3,2,75,11,1
2022-03-16,dYdX,DYDX,4.64,0.9173967459324156,0.5543744889615698,0.1010452961672473,0.0016400294418681,0.0004265275733058,2022,3,2,75,11,1
2022-03-16,SKALE,SKL,0.12635,0.8973717146433041,0.5633687653311529,0.1296941540843979,0.0001947582984812,0.0004406084274176,2022,3,2,75,11,1
2022-03-16,APENFT,NFT,1.523622e-06,0.886107634543179,0.5322976287816843,0.0989159891598915,0.001191038989048,0.0004582340104749,2022,3,2,75,11,1
2022-03-16,0x,ZRX,0.509791,0.9123904881101376,0.5568274734260016,0.1134339914827719,0.0005059000197453,0.0004666978252893,2022,3,2,75,11,1
2022-03-16,Gemini Dollar,GUSD,1.0,0.8848560700876096,0.5290269828291086,0.108207510646535,5.490773622010749e-05,0.0003737769227541,2022,3,2,75,11,1
2022-03-16,Everdome,DOME,0.042328407322,0.8760951188986233,0.6017988552739165,0.0944638017808749,0.0007727556726663,0.0003838680417214,2022,3,2,75,11,1
2022-03-16,Nervos Network,CKB,0.010554840501,0.8986232790988735,0.5445625511038429,0.1051103368176538,0.0001063686249976,0.000323046141332,2022,3,2,75,11,1
2022-03-16,COTI,COTI,0.201515,0.902377972465582,0.5674570727718724,0.1095625241966705,0.0002689673309273,0.0001870182886786,2022,3,2,75,11,1
2022-03-16,JUST,JST,0.048936163597,0.8973717146433041,0.5322976287816843,0.1144018583042973,0.0012936002934668,0.0003737178102404,2022,3,2,75,11,1
